State,District,City,Latitude,Longitude
Gujarat,Tapi,-,21.12,73.4
Gujarat,Vadodara,-,22.18,73.12
Gujarat,Valsad,-,20.6,72.92
Haryana,Ambala,-,30.42,77.17
Haryana,Bhiwani,-,28.78,76.13
Haryana,Charkhi Dadri,-,28.58,76.27
Haryana,Faridabad,-,28.4,77.32
Haryana,Fatehabad,-,29.32,75.27
Haryana,Gurgaon,-,28.25,77.17
Haryana,Hissar,-,29.17,75.72
Haryana,Jhajjar,-,28.6,76.65
Haryana,Jind,-,29.3,76.32
Haryana,Kaithal,-,29.8,76.38
Haryana,Karnal,-,29.67,76.83
Haryana,Kurukshetra,-,29.97,76.85
Haryana,Mahendragarh,-,28.03,76.1
Haryana,Nuh,-,28.1,77
Haryana,Palwal,-,28.15,77.33
Haryana,Panchkula,-,30.68,76.85
Haryana,Panipat,-,29.38,76.97
Haryana,Rewari,-,27.95,76.28
Haryana,Rohtak,-,28.53,76.33
Haryana,Sirsa,-,29.53,75.02
Haryana,Sonipat,-,28.98,77.02
Haryana,Yamuna Nagar,-,30.12,77.27
Himachal Pradesh,Bilaspur,-,0,0
Himachal Pradesh,Chamba,-,32.55,76.12
Himachal Pradesh,Hamirpur,-,0,0
Himachal Pradesh,Kangra,-,32.22,76.32
Himachal Pradesh,Kinnaur,-,31.58,78.42
Himachal Pradesh,Kullu,-,0,0
Himachal Pradesh,Lahaul and Spiti,-,32.5,77.83
Himachal Pradesh,Mandi,-,0,0
Himachal Pradesh,Shimla,-,31.1,77.17
Himachal Pradesh,Sirmaur,-,30.63,77.43
Himachal Pradesh,Solan,-,30.9,77.08
Himachal Pradesh,Una,-,31.47,76.27
Jharkhand,Bokaro,-,23.68,86.1
Jharkhand,Chatra,-,24.2,84.87
Jharkhand,Deoghar,-,24.48,86.7
Jharkhand,Dhanbad,-,23.78,86.42
Jharkhand,Dumka,-,24.27,87.25
Jharkhand,East Singhbhum,-,22.8,86.18
Jharkhand,Garhwa,-,24.17,83.8
Jharkhand,Giridih,-,24.17,86.32
Jharkhand,Godda,-,24.82,87.22
Jharkhand,Gumla,-,23,84.5
Jharkhand,Hazaribag,-,24,85.25
Jharkhand,Jamtara,-,23.95,86.8
Jharkhand,Khunti,-,23.07,85.27
Jharkhand,Koderma,-,24.47,85.58
Jharkhand,Latehar,-,23.72,84.47
Jharkhand,Lohardaga,-,23.43,84.68
Jharkhand,Pakur,-,24.62,87.85
Jharkhand,Palamu,-,24.02,84.07
Jharkhand,Ramgarh,-,23.62,85.52
Jharkhand,Ranchi,-,23,85
Jharkhand,Sahibganj,-,25.25,87.65
Jharkhand,Seraikela Kharsawan,-,22.7,85.92
Jharkhand,Simdega,-,22.6,84.5
Jharkhand,West Singhbhum,-,22.57,85.82
Karnataka,Bagalkot,-,16.12,75.45
Karnataka,Ballari,-,15.15,76.93
Karnataka,Belgaum,-,15.85,74.55
Karnataka,Bangalore Rural,-,13.27,77.62
Karnataka,Bangalore Urban,-,12.97,77.55
Karnataka,Bidar,-,17.9,77.5
Karnataka,Chamarajnagar,-,12,77.3
Karnataka,Chikkaballapur,-,13.43,77.72
Karnataka,Chikkamagaluru,-,13.3,75.73
Karnataka,Chitradurga,-,14,76.5
Karnataka,Dakshina Kannada,-,12.87,74.88
Karnataka,Davanagere,-,14.23,75.9
Karnataka,Dharwad,-,15.38,75.12
Karnataka,Gadag,-,15.4,75.75
Karnataka,Gulbarga,-,17.33,76.83
Karnataka,Hassan,-,0,0
Karnataka,Haveri,-,14.8,75.4
Karnataka,Kodagu,-,12.42,75.73
Karnataka,Kolar,-,13.13,78.13
Karnataka,Koppal,-,15.57,76
Karnataka,Mandya,-,12.52,76.9
Karnataka,Mysuru,-,12.22,76.48
Karnataka,Raichur,-,16.22,77.35
Karnataka,Ramanagara,-,12.72,75.28
Karnataka,Shimoga,-,14,75.28
Karnataka,Tumakuru,-,13.33,77.1
Karnataka,Udupi,-,13.35,74.75
Karnataka,Uttara Kannada,-,14.6,74.7
Karnataka,Vijayapura,-,13.28,77.8
Karnataka,Yadgir,-,16.75,77.13
Kerala,Alappuzha,-,9.48,76.48
Kerala,Ernakulam,-,10,76.33
Kerala,Idukki,-,9.85,76.93
Kerala,Kannur,-,11.87,75.35
Kerala,Kasaragod,-,12.5,75
Kerala,Kollam,-,8.8,76.6
Kerala,Kottayam,-,9.58,76.52
Kerala,Kozhikode,-,11.25,75.77
Kerala,Malappuram,-,11.03,76.07
Kerala,Palakkad,-,10.77,76.65
Kerala,Pathanamthitta,-,9.27,76.78
Kerala,Thrissur,-,10.52,76.22
Kerala,Thiruvananthapuram,-,8.28,76.68
Kerala,Wayanad,-,11.62,76.08
Madhya Pradesh,Agar Malwa,-,23.7,76
